POPULACAO,NUM_CASOS_SEM,TAXA_INC_SEM,NUM_CASOS_MES,TAXA_INC_MES,DT_NOTIFIC,NUM_CASOS_DIARIOS,PERIODO,SURTO
1653461.0,29,1.753896826112016,183,11.067693764775825,2020-10-15,4,2020-10,1
1653461.0,29,1.753896826112016,183,11.067693764775825,2020-10-16,2,2020-10,1
1653461.0,29,1.753896826112016,183,11.067693764775825,2020-10-17,1,2020-10,1
1653461.0,35,2.116772031514502,183,11.067693764775825,2020-10-19,9,2020-10,1
1653461.0,35,2.116772031514502,183,11.067693764775825,2020-10-20,8,2020-10,1
1653461.0,35,2.116772031514502,183,11.067693764775825,2020-10-21,6,2020-10,1
1653461.0,35,2.116772031514502,183,11.067693764775825,2020-10-22,6,2020-10,1
1653461.0,35,2.116772031514502,183,11.067693764775825,2020-10-23,5,2020-10,1
1653461.0,35,2.116772031514502,183,11.067693764775825,2020-10-24,1,2020-10,1
1653461.0,41,2.479647236916988,183,11.067693764775825,2020-10-26,14,2020-10,1
1653461.0,41,2.479647236916988,183,11.067693764775825,2020-10-27,5,2020-10,1
1653461.0,41,2.479647236916988,183,11.067693764775825,2020-10-28,5,2020-10,1
1653461.0,41,2.479647236916988,183,11.067693764775825,2020-10-29,8,2020-10,1
1653461.0,41,2.479647236916988,183,11.067693764775825,2020-10-30,6,2020-10,1
1653461.0,41,2.479647236916988,183,11.067693764775825,2020-10-31,3,2020-10,1
1653461.0,29,1.753896826112016,89,5.382648880136877,2020-11-02,3,2020-11,0
1653461.0,29,1.753896826112016,89,5.382648880136877,2020-11-03,3,2020-11,0
1653461.0,29,1.753896826112016,89,5.382648880136877,2020-11-04,2,2020-11,0
1653461.0,29,1.753896826112016,89,5.382648880136877,2020-11-05,8,2020-11,0
1653461.0,29,1.753896826112016,89,5.382648880136877,2020-11-06,13,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-09,5,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-10,3,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-11,2,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-12,8,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-13,2,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-14,2,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-16,1,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-17,2,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-18,12,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-19,2,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-20,1,2020-11,0
1653461.0,22,1.3305424198091156,89,5.382648880136877,2020-11-21,4,2020-11,0
1653461.0,10,0.6047920090041434,89,5.382648880136877,2020-11-23,3,2020-11,0
1653461.0,10,0.6047920090041434,89,5.382648880136877,2020-11-24,4,2020-11,0
1653461.0,10,0.6047920090041434,89,5.382648880136877,2020-11-26,1,2020-11,0
1653461.0,10,0.6047920090041434,89,5.382648880136877,2020-11-27,1,2020-11,0
1653461.0,10,0.6047920090041434,89,5.382648880136877,2020-11-29,1,2020-11,0
1653461.0,19,1.1491048171078726,89,5.382648880136877,2020-11-30,6,2020-11,0
1653461.0,19,1.1491048171078726,44,2.661084839618231,2020-12-01,4,2020-12,0
1653461.0,19,1.1491048171078726,44,2.661084839618231,2020-12-02,3,2020-12,0
1653461.0,19,1.1491048171078726,44,2.661084839618231,2020-12-03,5,2020-12,0
1653461.0,19,1.1491048171078726,44,2.661084839618231,2020-12-06,1,2020-12,0
1653461.0,6,0.3628752054024861,44,2.661084839618231,2020-12-07,1,2020-12,0
1653461.0,6,0.3628752054024861,44,2.661084839618231,2020-12-09,1,2020-12,0
1653461.0,6,0.3628752054024861,44,2.661084839618231,2020-12-10,1,2020-12,0
1653461.0,6,0.3628752054024861,44,2.661084839618231,2020-12-11,3,2020-12,0
1653461.0,14,0.8467088126058008,44,2.661084839618231,2020-12-14,1,2020-12,0
1653461.0,14,0.8467088126058008,44,2.661084839618231,2020-12-15,5,2020-12,0
1653461.0,14,0.8467088126058008,44,2.661084839618231,2020-12-16,1,2020-12,0
1653461.0,14,0.8467088126058008,44,2.661084839618231,2020-12-17,4,2020-12,0
1653461.0,14,0.8467088126058008,44,2.661084839618231,2020-12-18,3,2020-12,0
1653461.0,6,0.3628752054024861,44,2.661084839618231,2020-12-21,3,2020-12,0
1653461.0,6,0.3628752054024861,44,2.661084839618231,2020-12-22,2,2020-12,0
1653461.0,6,0.3628752054024861,44,2.661084839618231,2020-12-23,1,2020-12,0
1653461.0,5,0.3023960045020717,44,2.661084839618231,2020-12-28,1,2020-12,0
1653461.0,5,0.3023960045020717,44,2.661084839618231,2020-12-29,3,2020-12,0
1653461.0,5,0.3023960045020717,44,2.661084839618231,2020-12-31,1,2020-12,0
1550000.0,3,0.1935483870967742,41,2.6451612903225805,2021-01-02,2,2021-01,0
1550000.0,3,0.1935483870967742,41,2.6451612903225805,2021-01-03,1,2021-01,0
1550000.0,1,0.06451612903225806,41,2.6451612903225805,2021-01-04,1,2021-01,0
1550000.0,9,0.5806451612903225,41,2.6451612903225805,2021-01-11,3,2021-01,0
1550000.0,9,0.5806451612903225,41,2.6451612903225805,2021-01-12,2,2021-01,0
1550000.0,9,0.5806451612903225,41,2.6451612903225805,2021-01-14,1,2021-01,0
1550000.0,9,0.5806451612903225,41,2.6451612903225805,2021-01-15,3,2021-01,0
1550000.0,18,1.161290322580645,41,2.6451612903225805,2021-01-18,3,2021-01,0
1550000.0,18,1.161290322580645,41,2.6451612903225805,2021-01-20,2,2021-01,0
1550000.0,18,1.161290322580645,41,2.6451612903225805,2021-01-21,5,2021-01,0
1550000.0,18,1.161290322580645,41,2.6451612903225805,2021-01-22,6,2021-01,0
1550000.0,18,1.161290322580645,41,2.6451612903225805,2021-01-23,2,2021-01,0
1550000.0,10,0.6451612903225806,41,2.6451612903225805,2021-01-25,2,2021-01,0
1550000.0,10,0.6451612903225806,41,2.6451612903225805,2021-01-27,3,2021-01,0
1550000.0,10,0.6451612903225806,41,2.6451612903225805,2021-01-28,2,2021-01,0
1550000.0,10,0.6451612903225806,41,2.6451612903225805,2021-01-29,1,2021-01,0
1550000.0,10,0.6451612903225806,41,2.6451612903225805,2021-01-31,2,2021-01,0
1550000.0,26,1.6774193548387097,86,5.548387096774194,2021-02-01,2,2021-02,0
1550000.0,26,1.6774193548387097,86,5.548387096774194,2021-02-02,1,2021-02,0
1550000.0,26,1.6774193548387097,86,5.548387096774194,2021-02-03,2,2021-02,0
1550000.0,26,1.6774193548387097,86,5.548387096774194,2021-02-04,12,2021-02,0
1550000.0,26,1.6774193548387097,86,5.548387096774194,2021-02-05,9,2021-02,0
1550000.0,16,1.032258064516129,86,5.548387096774194,2021-02-08,6,2021-02,0
1550000.0,16,1.032258064516129,86,5.548387096774194,2021-02-09,4,2021-02,0
1550000.0,16,1.032258064516129,86,5.548387096774194,2021-02-10,1,2021-02,0
1550000.0,16,1.032258064516129,86,5.548387096774194,2021-02-11,1,2021-02,0
1550000.0,16,1.032258064516129,86,5.548387096774194,2021-02-12,1,2021-02,0
1550000.0,16,1.032258064516129,86,5.548387096774194,2021-02-13,2,2021-02,0
1550000.0,16,1.032258064516129,86,5.548387096774194,2021-02-14,1,2021-02,0
1550000.0,7,0.4516129032258065,86,5.548387096774194,2021-02-15,3,2021-02,0
1550000.0,7,0.4516129032258065,86,5.548387096774194,2021-02-17,1,2021-02,0
1550000.0,7,0.4516129032258065,86,5.548387096774194,2021-02-18,2,2021-02,0
1550000.0,7,0.4516129032258065,86,5.548387096774194,2021-02-19,1,2021-02,0
1550000.0,37,2.3870967741935485,86,5.548387096774194,2021-02-22,7,2021-02,0
1550000.0,37,2.3870967741935485,86,5.548387096774194,2021-02-23,8,2021-02,0
1550000.0,37,2.3870967741935485,86,5.548387096774194,2021-02-24,4,2021-02,0
1550000.0,37,2.3870967741935485,86,5.548387096774194,2021-02-25,9,2021-02,0
1550000.0,37,2.3870967741935485,86,5.548387096774194,2021-02-26,9,2021-02,0
1550000.0,18,1.161290322580645,150,9.67741935483871,2021-03-01,8,2021-03,1
1550000.0,18,1.161290322580645,150,9.67741935483871,2021-03-02,2,2021-03,1
1550000.0,18,1.161290322580645,150,9.67741935483871,2021-03-03,5,2021-03,1
1550000.0,18,1.161290322580645,150,9.67741935483871,2021-03-05,3,2021-03,1
1550000.0,32,2.064516129032258,150,9.67741935483871,2021-03-08,9,2021-03,1
1550000.0,32,2.064516129032258,150,9.67741935483871,2021-03-09,3,2021-03,1
1550000.0,32,2.064516129032258,150,9.67741935483871,2021-03-10,7,2021-03,1
1550000.0,32,2.064516129032258,150,9.67741935483871,2021-03-11,4,2021-03,1
1550000.0,32,2.064516129032258,150,9.67741935483871,2021-03-12,6,2021-03,1
1550000.0,32,2.064516129032258,150,9.67741935483871,2021-03-13,2,2021-03,1
1550000.0,32,2.064516129032258,150,9.67741935483871,2021-03-14,1,2021-03,1
1550000.0,25,1.6129032258064517,150,9.67741935483871,2021-03-15,9,2021-03,1
1550000.0,25,1.6129032258064517,150,9.67741935483871,2021-03-16,2,2021-03,1
1550000.0,25,1.6129032258064517,150,9.67741935483871,2021-03-17,6,2021-03,1
1550000.0,25,1.6129032258064517,150,9.67741935483871,2021-03-18,4,2021-03,1
1550000.0,25,1.6129032258064517,150,9.67741935483871,2021-03-19,2,2021-03,1
1550000.0,25,1.6129032258064517,150,9.67741935483871,2021-03-21,2,2021-03,1
1550000.0,40,2.5806451612903225,150,9.67741935483871,2021-03-22,11,2021-03,1
1550000.0,40,2.5806451612903225,150,9.67741935483871,2021-03-23,7,2021-03,1
1550000.0,40,2.5806451612903225,150,9.67741935483871,2021-03-24,6,2021-03,1
1550000.0,40,2.5806451612903225,150,9.67741935483871,2021-03-25,10,2021-03,1
1550000.0,40,2.5806451612903225,150,9.67741935483871,2021-03-26,4,2021-03,1
1550000.0,40,2.5806451612903225,150,9.67741935483871,2021-03-27,1,2021-03,1
1550000.0,40,2.5806451612903225,150,9.67741935483871,2021-03-28,1,2021-03,1
1550000.0,47,3.032258064516129,150,9.67741935483871,2021-03-29,16,2021-03,1
1550000.0,47,3.032258064516129,150,9.67741935483871,2021-03-30,12,2021-03,1
1550000.0,47,3.032258064516129,150,9.67741935483871,2021-03-31,7,2021-03,1
1550000.0,47,3.032258064516129,510,32.903225806451616,2021-04-01,7,2021-04,1
1550000.0,47,3.032258064516129,510,32.903225806451616,2021-04-02,1,2021-04,1
1550000.0,47,3.032258064516129,510,32.903225806451616,2021-04-03,2,2021-04,1
1550000.0,47,3.032258064516129,510,32.903225806451616,2021-04-04,2,2021-04,1
1550000.0,91,5.870967741935484,510,32.903225806451616,2021-04-05,17,2021-04,1
1550000.0,91,5.870967741935484,510,32.903225806451616,2021-04-06,6,2021-04,1
1550000.0,91,5.870967741935484,510,32.903225806451616,2021-04-07,14,2021-04,1
1550000.0,91,5.870967741935484,510,32.903225806451616,2021-04-08,13,2021-04,1
1550000.0,91,5.870967741935484,510,32.903225806451616,2021-04-09,40,2021-04,1
1550000.0,91,5.870967741935484,510,32.903225806451616,2021-04-10,1,2021-04,1
1550000.0,85,5.483870967741936,510,32.903225806451616,2021-04-12,16,2021-04,1
1550000.0,85,5.483870967741936,510,32.903225806451616,2021-04-13,18,2021-04,1
1550000.0,85,5.483870967741936,510,32.903225806451616,2021-04-14,25,2021-04,1
1550000.0,85,5.483870967741936,510,32.903225806451616,2021-04-15,2,2021-04,1
1550000.0,85,5.483870967741936,510,32.903225806451616,2021-04-16,20,2021-04,1
1550000.0,85,5.483870967741936,510,32.903225806451616,2021-04-17,2,2021-04,1
1550000.0,85,5.483870967741936,510,32.903225806451616,2021-04-18,2,2021-04,1
1550000.0,86,5.548387096774194,510,32.903225806451616,2021-04-19,22,2021-04,1
1550000.0,86,5.548387096774194,510,32.903225806451616,2021-04-20,9,2021-04,1
1550000.0,86,5.548387096774194,510,32.903225806451616,2021-04-21,1,2021-04,1
1550000.0,86,5.548387096774194,510,32.903225806451616,2021-04-22,19,2021-04,1
1550000.0,86,5.548387096774194,510,32.903225806451616,2021-04-23,28,2021-04,1
1550000.0,86,5.548387096774194,510,32.903225806451616,2021-04-24,5,2021-04,1
1550000.0,86,5.548387096774194,510,32.903225806451616,2021-04-25,2,2021-04,1
1550000.0,251,16.193548387096776,510,32.903225806451616,2021-04-26,46,2021-04,1
1550000.0,251,16.193548387096776,510,32.903225806451616,2021-04-27,26,2021-04,1
1550000.0,251,16.193548387096776,510,32.903225806451616,2021-04-28,56,2021-04,1
1550000.0,251,16.193548387096776,510,32.903225806451616,2021-04-29,60,2021-04,1
1550000.0,251,16.193548387096776,510,32.903225806451616,2021-04-30,48,2021-04,1
1550000.0,251,16.193548387096776,2261,145.8709677419355,2021-05-01,4,2021-05,1
1550000.0,251,16.193548387096776,2261,145.8709677419355,2021-05-02,11,2021-05,1
1550000.0,244,15.74193548387097,2261,145.8709677419355,2021-05-03,51,2021-05,1
1550000.0,244,15.74193548387097,2261,145.8709677419355,2021-05-04,45,2021-05,1
1550000.0,244,15.74193548387097,2261,145.8709677419355,2021-05-05,20,2021-05,1
1550000.0,244,15.74193548387097,2261,145.8709677419355,2021-05-06,76,2021-05,1
1550000.0,244,15.74193548387097,2261,145.8709677419355,2021-05-07,39,2021-05,1
1550000.0,244,15.74193548387097,2261,145.8709677419355,2021-05-08,11,2021-05,1
1550000.0,244,15.74193548387097,2261,145.8709677419355,2021-05-09,2,2021-05,1
1550000.0,302,19.483870967741936,2261,145.8709677419355,2021-05-10,93,2021-05,1
1550000.0,302,19.483870967741936,2261,145.8709677419355,2021-05-11,52,2021-05,1
1550000.0,302,19.483870967741936,2261,145.8709677419355,2021-05-12,74,2021-05,1
1550000.0,302,19.483870967741936,2261,145.8709677419355,2021-05-13,32,2021-05,1
1550000.0,302,19.483870967741936,2261,145.8709677419355,2021-05-14,29,2021-05,1
1550000.0,302,19.483870967741936,2261,145.8709677419355,2021-05-15,14,2021-05,1
1550000.0,302,19.483870967741936,2261,145.8709677419355,2021-05-16,8,2021-05,1
1550000.0,566,36.516129032258064,2261,145.8709677419355,2021-05-17,78,2021-05,1
1550000.0,566,36.516129032258064,2261,145.8709677419355,2021-05-18,103,2021-05,1
1550000.0,566,36.516129032258064,2261,145.8709677419355,2021-05-19,91,2021-05,1
1550000.0,566,36.516129032258064,2261,145.8709677419355,2021-05-20,149,2021-05,1
1550000.0,566,36.516129032258064,2261,145.8709677419355,2021-05-21,94,2021-05,1
1550000.0,566,36.516129032258064,2261,145.8709677419355,2021-05-22,33,2021-05,1
1550000.0,566,36.516129032258064,2261,145.8709677419355,2021-05-23,18,2021-05,1
1550000.0,930,59.99999999999999,2261,145.8709677419355,2021-05-24,126,2021-05,1
1550000.0,930,59.99999999999999,2261,145.8709677419355,2021-05-25,131,2021-05,1
1550000.0,930,59.99999999999999,2261,145.8709677419355,2021-05-26,163,2021-05,1
1550000.0,930,59.99999999999999,2261,145.8709677419355,2021-05-27,237,2021-05,1
1550000.0,930,59.99999999999999,2261,145.8709677419355,2021-05-28,190,2021-05,1
1550000.0,930,59.99999999999999,2261,145.8709677419355,2021-05-29,24,2021-05,1
1550000.0,930,59.99999999999999,2261,145.8709677419355,2021-05-30,59,2021-05,1
1550000.0,861,55.54838709677419,2261,145.8709677419355,2021-05-31,204,2021-05,1
1550000.0,861,55.54838709677419,3720,239.99999999999997,2021-06-01,177,2021-06,1
1550000.0,861,55.54838709677419,3720,239.99999999999997,2021-06-02,197,2021-06,1
1550000.0,861,55.54838709677419,3720,239.99999999999997,2021-06-03,19,2021-06,1
1550000.0,861,55.54838709677419,3720,239.99999999999997,2021-06-04,206,2021-06,1
1550000.0,861,55.54838709677419,3720,239.99999999999997,2021-06-05,32,2021-06,1
1550000.0,861,55.54838709677419,3720,239.99999999999997,2021-06-06,26,2021-06,1
1550000.0,944,60.903225806451616,3720,239.99999999999997,2021-06-07,165,2021-06,1
1550000.0,944,60.903225806451616,3720,239.99999999999997,2021-06-08,153,2021-06,1
